"X","prediction","probability"
15494,0,0.07879289239645
15495,1,0.789317965507507
15496,0,0.10558046400547
15497,0,0.031818050891161
15498,0,0.0308203976601362
15499,0,0.0712660700082779
15500,0,0.0811001062393188
15501,1,0.668634057044983
15502,0,0.00507026165723801
15503,0,0.0502704530954361
15504,0,0.00443264981731772
15505,0,0.00933996681123972
15506,0,0.173316717147827
15507,0,0.324137270450592
15508,0,0.07622329890728
15509,0,0.0880270227789879
15510,0,0.0870776996016502
15511,0,0.0183344781398773
15512,0,0.0965246930718422
15513,0,0.0782459527254105
15514,0,0.0252388287335634
15515,0,0.378300040960312
15516,0,0.399778336286545
15517,0,0.128240242600441
15518,0,0.221793875098228
15519,1,0.563719272613525
15520,0,0.00581682380288839
15521,1,0.578333973884583
15522,1,0.718130886554718
15523,0,0.0388254709541798
15524,0,0.298247039318085
15525,0,0.0127169769257307
15526,0,0.022654028609395
15527,0,0.37103208899498
15528,0,0.0340182296931744
15529,0,0.219154119491577
15530,0,0.0259951390326023
15531,0,0.10497247427702
15532,0,0.456560492515564
15533,0,0.00486667361110449
15534,0,0.111894316971302
15535,0,0.00549407163634896
15536,0,0.0199760477989912
15537,0,0.0427010431885719
15538,0,0.0185129009187222
15539,0,0.142059236764908
15540,0,0.344717144966125
15541,0,0.0170705579221249
15542,0,0.0198455583304167
15543,0,0.197581201791763
15544,0,0.433183759450912
15545,0,0.0370108559727669
15546,0,0.0048368452116847
15547,0,0.00824110489338636
15548,0,0.080050952732563
15549,0,0.0252219121903181
15550,0,0.29460021853447
15551,0,0.0136920791119337
15552,0,0.206380888819695
15553,1,0.654401481151581
15554,0,0.0778606981039047
15555,0,0.288399130105972
15556,0,0.0497886762022972
15557,0,0.30283185839653
15558,0,0.158625155687332
15559,0,0.214510545134544
15560,0,0.109615482389927
15561,0,0.0866279006004333
15562,0,0.0762622579932213
15563,0,0.0177485067397356
15564,0,0.160211190581322
15565,0,0.179678961634636
15566,0,0.00727322278544307
15567,0,0.0620001330971718
15568,0,0.111777640879154
15569,0,0.130636319518089
15570,0,0.461259633302689
15571,0,0.026022570207715
15572,1,0.607329249382019
15573,0,0.0804189965128899
15574,0,0.329205214977264
15575,0,0.106104627251625
15576,0,0.160706698894501
15577,0,0.166295692324638
15578,1,0.725113153457642
15579,1,0.919885098934174
15580,1,0.576205492019653
15581,0,0.110430344939232
15582,0,0.0690813809633255
15583,0,0.453150302171707
15584,0,0.0043179914355278
15585,0,0.0058038467541337
15586,0,0.435946434736252
15587,1,0.649622440338135
15588,0,0.0037839887663722
15589,0,0.0144255924969912
15590,0,0.00655313581228256
15591,0,0.0329691991209984
15592,0,0.0356710851192474
15593,0,0.216080948710442
15594,0,0.0225599519908428
15595,0,0.133536517620087
15596,0,0.0346912629902363
15597,0,0.0123557765036821
15598,0,0.00823359377682209
15599,0,0.00411935895681381
15600,0,0.0237186551094055
15601,0,0.189085885882378
15602,0,0.328303545713425
15603,1,0.620511889457703
15604,1,0.52327424287796
15605,0,0.486884891986847
15606,1,0.703720927238464
15607,0,0.339988529682159
15608,1,0.723777532577515
15609,0,0.139193519949913
15610,0,0.024979455396533
15611,0,0.306948721408844
15612,0,0.217463329434395
15613,0,0.046074703335762
15614,0,0.00774682685732841
15615,0,0.0721491128206253
15616,0,0.366869956254959
15617,0,0.00715313712134957
15618,0,0.0630605071783066
15619,0,0.111754193902016
15620,0,0.333125203847885
15621,1,0.798118472099304
15622,0,0.00890034344047308
15623,1,0.697712004184723
15624,0,0.00584147498011589
15625,1,0.553460001945496
15626,0,0.0361326858401299
15627,1,0.622557640075684
15628,0,0.368284642696381
15629,0,0.0122403586283326
15630,0,0.344038844108582
15631,0,0.00614907732233405
15632,0,0.162198543548584
15633,0,0.0564486086368561
15634,0,0.39817601442337
15635,0,0.0671680346131325
15636,0,0.0499038510024548
15637,0,0.037594236433506
15638,0,0.0376612655818462
15639,0,0.0136314751580358
15640,0,0.00775589281693101
15641,0,0.00791160576045513
15642,0,0.161762729287148
15643,0,0.0308103170245886
15644,0,0.468662232160568
15645,0,0.0735467821359634
15646,0,0.283995449542999
15647,0,0.362557262182236
15648,0,0.0983994603157043
15649,0,0.0226546935737133
15650,0,0.334060490131378
15651,0,0.0865210145711899
15652,0,0.0678966343402863
15653,1,0.920941352844238
15654,0,0.00604287208989263
15655,0,0.316266924142838
15656,0,0.0937116891145706
15657,0,0.136473804712296
15658,0,0.476863771677017
15659,0,0.0115916570648551
15660,0,0.0375017262995243
15661,0,0.494451195001602
15662,0,0.0411615371704102
15663,0,0.216760948300362
15664,0,0.0761115178465843
15665,0,0.145654857158661
15666,0,0.145562514662743
15667,1,0.77116733789444
15668,0,0.00843185372650623
15669,0,0.193839564919472
15670,0,0.0483590066432953
15671,0,0.00528500508517027
15672,0,0.0369551964104176
15673,0,0.274129003286362
15674,0,0.204707086086273
15675,0,0.242695301771164
15676,1,0.579086363315582
15677,0,0.289888054132462
15678,0,0.0139842042699456
15679,0,0.0152041623368859
15680,1,0.602613389492035
15681,0,0.00950081925839186
15682,1,0.686613202095032
15683,1,0.768780171871185
15684,0,0.0124640492722392
15685,0,0.27108633518219
15686,0,0.046343095600605
15687,0,0.00878034997731447
15688,0,0.0333960354328156
15689,0,0.00739557947963476
